MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015_factor,2020_factor,2030_factor,2050_factor,2100_factor
IIASA-WiC POP,SSP3_v9_130115,OMN,0-4,million,0.09204909722733076,0.094570456592736,0.08526838718693855,0.07977285691750861,0.07854586170435914
IIASA-WiC POP,SSP3_v9_130115,PAK,0-4,million,0.12686033660105342,0.12835167387041868,0.11738045878952494,0.10469137014924809,0.08005382760881531
IIASA-WiC POP,SSP3_v9_130115,PAN,0-4,million,0.09151299874997527,0.09081112612442163,0.08771988574867462,0.07845863824966764,0.06743859453748852
IIASA-WiC POP,SSP3_v9_130115,PER,0-4,million,0.09697408671887409,0.09551366962218563,0.09052092571518879,0.07865635897555422,0.06759082735949908
IIASA-WiC POP,SSP3_v9_130115,PHL,0-4,million,0.11776147065443661,0.11730129050903679,0.11069559135682465,0.09514099152554283,0.07091585281297615
IIASA-WiC POP,SSP3_v9_130115,PNG,0-4,million,0.12509889074535396,0.12220928644388863,0.11511780461292775,0.09248392809943269,0.07464205546381537
IIASA-WiC POP,SSP3_v9_130115,POL,0-4,million,0.05073369097381478,0.047079545674578685,0.03588436267105261,0.033437580461797775,0.028069846191203583
IIASA-WiC POP,SSP3_v9_130115,PRI,0-4,million,0.0665906754020926,0.06659987508090161,0.06291674399571523,0.05859754686053526,0.05897354577402295
IIASA-WiC POP,SSP3_v9_130115,PRK,0-4,million,0.06845906761603816,0.06944889064269054,0.0643556896079787,0.05913797662864643,0.06269586491074147
IIASA-WiC POP,SSP3_v9_130115,PRT,0-4,million,0.04301367813078903,0.03927558756548366,0.034098760023956176,0.0326118742147626,0.03249561534758535
IIASA-WiC POP,SSP3_v9_130115,PRY,0-4,million,0.11035796223391052,0.10971824308704005,0.10136324764574223,0.08684296209950906,0.07209880514901987
IIASA-WiC POP,SSP3_v9_130115,PSE,0-4,million,0.14892982321908527,0.14529965698664668,0.13352177238774404,0.11058569367222217,0.08121420476574075
IIASA-WiC POP,SSP3_v9_130115,PYF,0-4,million,0.0855035769350382,0.08701918370961273,0.08249970774033542,0.08164292413560807,0.07934044913674078
IIASA-WiC POP,SSP3_v9_130115,QAT,0-4,million,0.05732012236655777,0.0565591602033368,0.046438650111516905,0.05136654406723667,0.05380150669214121
IIASA-WiC POP,SSP3_v9_130115,REU,0-4,million,0.0861284660305118,0.08553896104954725,0.0844103600794999,0.08170559931090036,0.07927811217063581
IIASA-WiC POP,SSP3_v9_130115,ROU,0-4,million,0.05118557172163063,0.05235008822009468,0.05000431392706649,0.05374742442881334,0.061435974502859876
IIASA-WiC POP,SSP3_v9_130115,RUS,0-4,million,0.06188693483879281,0.05897876100005132,0.051305895198404325,0.06479642138859162,0.06846831605336567
IIASA-WiC POP,SSP3_v9_130115,RWA,0-4,million,0.17194271342431236,0.16596063563081223,0.1497905193407595,0.12953260913274026,0.08856743140421117
IIASA-WiC POP,SSP3_v9_130115,SAU,0-4,million,0.10238822920503246,0.09934416616318965,0.09188761421063402,0.08516163591429156,0.07078289711239452
IIASA-WiC POP,SSP3_v9_130115,SDN,0-4,million,0.1401388780664266,0.13765605803443975,0.12785677961151481,0.10543892550949152,0.08370592971877948
IIASA-WiC POP,SSP3_v9_130115,SEN,0-4,million,0.16641529359134433,0.16414785333111115,0.151400612458667,0.12628097149037704,0.08981023098805184
IIASA-WiC POP,SSP3_v9_130115,SGP,0-4,million,0.04209483093301171,0.04584984917167181,0.04845497732827351,0.04289095147078492,0.04840997495726016
IIASA-WiC POP,SSP3_v9_130115,SLB,0-4,million,0.1355209982409463,0.1301553592148295,0.12035328619109997,0.09897467686849593,0.07969942212628975
IIASA-WiC POP,SSP3_v9_130115,SLE,0-4,million,0.1558207369562391,0.15110896944607433,0.139315023375616,0.1131971226048901,0.0867395538069796
IIASA-WiC POP,SSP3_v9_130115,SLV,0-4,million,0.10135047466242367,0.10336693790475462,0.09555252256404885,0.08426647174067166,0.0736093169512044
IIASA-WiC POP,SSP3_v9_130115,SOM,0-4,million,0.17909862070235083,0.1754920017035618,0.1727013527495585,0.13653616390695855,0.0869677236642023
IIASA-WiC POP,SSP3_v9_130115,SRB,0-4,million,0.05136548520739541,0.053024307205853154,0.05520398218413047,0.05528958113528257,0.061182425576550854
IIASA-WiC POP,SSP3_v9_130115,STP,0-4,million,0.1327310694850807,0.12809339067749304,0.11920478168622553,0.09782443075615192,0.07707899695975161
IIASA-WiC POP,SSP3_v9_130115,SUR,0-4,million,0.08928332152850511,0.08996918302345586,0.08983275053732233,0.08218384498052193,0.0700891046169202
IIASA-WiC POP,SSP3_v9_130115,SVK,0-4,million,0.051734608209019546,0.04738803749279276,0.036347010817131556,0.03346956081634863,0.0287237015556185
IIASA-WiC POP,SSP3_v9_130115,SVN,0-4,million,0.050458115188728746,0.04581511714707174,0.035717350984471326,0.03639351158165798,0.029840613104878757
IIASA-WiC POP,SSP3_v9_130115,SWE,0-4,million,0.058386435349758736,0.056608962469448416,0.04644624210818751,0.04406894557321212,0.032743730458447556
IIASA-WiC POP,SSP3_v9_130115,SWZ,0-4,million,0.1312160365510648,0.13168008185438354,0.1185787116981545,0.10980311421671232,0.09308381671419068
IIASA-WiC POP,SSP3_v9_130115,SYR,0-4,million,0.10748407744908967,0.1107681102328009,0.10777606230222678,0.08839393164390938,0.07440558267345228
IIASA-WiC POP,SSP3_v9_130115,TCD,0-4,million,0.1799890180539075,0.17609511480122206,0.16555319977157584,0.12991071907320265,0.08650752269411308
IIASA-WiC POP,SSP3_v9_130115,TGO,0-4,million,0.13562090451345146,0.1335239920771604,0.1230548449667669,0.1000962457004243,0.08010558469484388
IIASA-WiC POP,SSP3_v9_130115,THA,0-4,million,0.06079505137975758,0.06152004357278872,0.061070165947216974,0.06111080637049341,0.07103676605795511
IIASA-WiC POP,SSP3_v9_130115,TJK,0-4,million,0.12164542074138467,0.122234124559836,0.1098480850871192,0.09229854273698072,0.06850607240956162
IIASA-WiC POP,SSP3_v9_130115,TKM,0-4,million,0.10069141789499195,0.0996021197276506,0.0878148330096346,0.07828905752226299,0.06569019997492176
IIASA-WiC POP,SSP3_v9_130115,TLS,0-4,million,0.1775552400123424,0.183616457862079,0.1795304057280922,0.14355875718287667,0.09362697887838997
IIASA-WiC POP,SSP3_v9_130115,TON,0-4,million,0.11822108943646407,0.11122639614667267,0.11290266955971165,0.09059867296113433,0.07379819899121345
IIASA-WiC POP,SSP3_v9_130115,TTO,0-4,million,0.06902201783647215,0.06554935627333541,0.057672028188029356,0.05590317325158136,0.06328759283852324
IIASA-WiC POP,SSP3_v9_130115,TUN,0-4,million,0.08119164436272372,0.07924882252823842,0.0695763337124038,0.06710909256563131,0.06858357747888359
IIASA-WiC POP,SSP3_v9_130115,TUR,0-4,million,0.08970852942384462,0.09038164707888739,0.08556642036447604,0.08177156143910075,0.07467550810170043
IIASA-WiC POP,SSP3_v9_130115,TZA,0-4,million,0.17674403157179136,0.17371857881550615,0.16116885873427494,0.1313368105973069,0.09095897445347693
IIASA-WiC POP,SSP3_v9_130115,UGA,0-4,million,0.19834911574096908,0.1988568546723055,0.18988286905320192,0.1597769745410875,0.09941832687628008
IIASA-WiC POP,SSP3_v9_130115,UKR,0-4,million,0.05607796916610195,0.05581077901985804,0.05166103082882274,0.062069303921193676,0.06479579099880385
