MODEL,SCENARIO,ISO_A3,AGE,UNIT,2015,2020,2030,2050,2100
IIASA-WiC POP,SSP2_v9_130115,SWE,0-4,million,0.5707586109626958,0.576593029602697,0.5102713094524991,0.5513781270846746,0.49551800799108464
IIASA-WiC POP,SSP2_v9_130115,SWZ,0-4,million,0.1657351852846016,0.17451772587991632,0.16918304425330372,0.16975769828228157,0.1411608001879688
IIASA-WiC POP,SSP2_v9_130115,SYR,0-4,million,2.3934780900357984,2.678066296601425,3.010203850273945,2.9674277150194057,2.686441955471785
IIASA-WiC POP,SSP2_v9_130115,TCD,0-4,million,2.305870956212396,2.5590424789201944,3.022111303694101,3.278741321319659,2.9583222917464953
IIASA-WiC POP,SSP2_v9_130115,TGO,0-4,million,0.9021591415437366,0.9716802765449295,1.0422515410684547,1.0359310054189799,0.9145064734779658
IIASA-WiC POP,SSP2_v9_130115,THA,0-4,million,4.323360138682522,4.481473328123438,4.581344649735338,4.494801951321028,3.8830471973799363
IIASA-WiC POP,SSP2_v9_130115,TJK,0-4,million,0.880445421506069,0.9221055625714984,0.872531090411268,0.7425206237028109,0.48488195334441503
IIASA-WiC POP,SSP2_v9_130115,TKM,0-4,million,0.536592218219417,0.5572361825255023,0.5276607885480696,0.49900864387959304,0.36435472727589807
IIASA-WiC POP,SSP2_v9_130115,TLS,0-4,million,0.22099860711305874,0.2527753209910894,0.2963693294443291,0.2956106107177404,0.2442180808342961
IIASA-WiC POP,SSP2_v9_130115,TON,0-4,million,0.012586590273160255,0.012053152472647927,0.0124469115055666,0.009620976606379245,0.006633716485524659
IIASA-WiC POP,SSP2_v9_130115,TTO,0-4,million,0.09391729097756385,0.08990225916568456,0.0784555523137324,0.06968615302682239,0.04969316519482789
IIASA-WiC POP,SSP2_v9_130115,TUN,0-4,million,0.892979640041792,0.9093455161839231,0.8492185646683477,0.8551482144081766,0.7300446096872416
IIASA-WiC POP,SSP2_v9_130115,TUR,0-4,million,6.91130387873491,7.32201533256698,7.5100445665167,7.84024918101747,6.696856903305964
IIASA-WiC POP,SSP2_v9_130115,TZA,0-4,million,9.076189002011434,10.13857779016384,11.76955395025922,13.42970576086905,13.078751927959908
IIASA-WiC POP,SSP2_v9_130115,UGA,0-4,million,7.759272126265998,9.040295196556743,11.385572536512411,14.899738299396775,15.475544120406921
IIASA-WiC POP,SSP2_v9_130115,UKR,0-4,million,2.4743325398471185,2.396468402989557,2.1229552660081468,2.4133807306820807,2.127630782422781
IIASA-WiC POP,SSP2_v9_130115,URY,0-4,million,0.2439515520900832,0.24796730449149626,0.24684077204261828,0.21848250570821434,0.17635152501920245
IIASA-WiC POP,SSP2_v9_130115,USA,0-4,million,19.477999767053884,19.525621952828537,18.226809349070233,18.05140677584009,16.461089463753307
IIASA-WiC POP,SSP2_v9_130115,UZB,0-4,million,2.8841634593922563,3.0138066659418916,2.814386980485942,2.6409366275681516,1.8242048132625306
IIASA-WiC POP,SSP2_v9_130115,VCT,0-4,million,0.00917152064713062,0.009354571706320581,0.008909687707338116,0.007842130937043834,0.005718187340520059
