scenario,GCAMRegion,GHG,2020,2030,2050,2100
Efficiency,South America_Northern,PM,0.123978721,0.1383806,0.161117334,0.128658208
Efficiency,South America_Northern,SO2,0.040807984000000005,0.040190766,0.6396106720000001,0.236743338
Efficiency,South America_Southern,BC,0.112425392,0.096266595,0.078236397,0.049465904000000005
Efficiency,South America_Southern,CH4,7.438202854,7.562224196,7.92022272,6.2798512859999995
Efficiency,South America_Southern,CO,13.490438809,10.897556440999999,8.722226785,7.317643189
Efficiency,South America_Southern,NH3,1.039328312,1.213546902,1.3901417649999999,1.337123832
Efficiency,South America_Southern,NMVOC,2.8291047049999998,2.479038612,2.1752224780000002,1.879907839
Efficiency,South America_Southern,NOx,1.7082074680000001,1.572579007,1.244536714,0.831493968
Efficiency,South America_Southern,OC,0.46145575800000005,0.407957455,0.359603297,0.262732168
Efficiency,South America_Southern,PM,0.783549665,0.689272415,0.600292752,0.43011885499999997
Efficiency,South America_Southern,SO2,1.8825347780000001,1.629656811,1.1785686759999998,0.594623617
Efficiency,South Asia,BC,0.130390443,0.12911886,0.109465959,0.04259742
Efficiency,South Asia,CH4,7.677574997000001,8.096250849,9.888979834,9.839920790999999
Efficiency,South Asia,CO,10.257733721,10.352814834,9.711942954,5.300689272
Efficiency,South Asia,NH3,1.833580039,2.218110903,2.855404735,3.293772161
Efficiency,South Asia,NMVOC,2.689525681,3.114861393,3.744580946,3.8890473649999997
Efficiency,South Asia,NOx,1.820344445,1.744576471,1.6457762120000001,1.514985635
Efficiency,South Asia,OC,0.451448828,0.45620489,0.40135207500000003,0.166229232
Efficiency,South Asia,PM,0.789001312,0.794403738,0.694346025,0.28456575
Efficiency,South Asia,SO2,0.715970002,0.755443213,0.760637312,0.41270487100000003
Efficiency,South Korea,BC,0.022433716,0.017151501,0.01365626,0.006065371
Efficiency,South Korea,CH4,1.169901232,1.0865866260000001,0.965954674,0.667207124
Efficiency,South Korea,CO,1.102845451,0.726077179,0.503175527,0.328021863
Efficiency,South Korea,NH3,0.312915353,0.339104944,0.375310726,0.408787216
Efficiency,South Korea,NMVOC,0.658253497,0.49224618,0.47438047000000005,0.365748427
Efficiency,South Korea,NOx,1.35484724,0.855228801,0.641839655,0.489530633
Efficiency,South Korea,OC,0.052406296000000005,0.04800953,0.049176933000000006,0.018606877
Efficiency,South Korea,PM,0.099618074,0.087519836,0.085345158,0.033277943
Efficiency,South Korea,SO2,0.240869806,0.125622128,0.061387201,0.028768803
Efficiency,Southeast Asia,BC,0.455872679,0.430769532,0.320993826,0.157934105
Efficiency,Southeast Asia,CH4,21.067458107,19.417428325,18.949510685,14.426776089
Efficiency,Southeast Asia,CO,54.350493088,48.075309267,32.809001228,20.495374218000002
Efficiency,Southeast Asia,NH3,3.469143373,3.919972322,4.53476471,4.392029589
Efficiency,Southeast Asia,NMVOC,14.411191892,13.734871923,10.702818977,7.745832998
Efficiency,Southeast Asia,NOx,9.461573939,7.360723693,4.8987358,3.262613429
Efficiency,Southeast Asia,OC,1.625968525,1.654048162,1.339207825,0.705029827
Efficiency,Southeast Asia,PM,2.826594938,2.839135357,2.2681604,1.181919249
Efficiency,Southeast Asia,SO2,3.177811004,2.685680787,1.6089348289999998,0.727539301
Efficiency,USA,BC,0.19253985999999998,0.16583864,0.12048492400000001,0.072424458
Efficiency,USA,CH4,26.153307021,22.183342179,22.018210651,19.436320348
Efficiency,USA,CO,40.362218673,31.074465823,20.664902586,14.130475670000001
Efficiency,USA,NH3,3.6785338889999997,4.246236121,5.4680034299999996,6.504580326
Efficiency,USA,NMVOC,11.541170354,10.218405998,9.882168549,10.118287896
Efficiency,USA,NOx,9.379109844,6.54509808,4.6291549309999995,3.814751394
Efficiency,USA,OC,0.859339427,0.8631049359999999,0.6815428109999999,0.465455948
Efficiency,USA,PM,1.4406492290000001,1.4166625629999998,1.107139634,0.745269031
Efficiency,USA,SO2,2.098777832,0.980947175,0.61385807,0.50264574
Equity,Africa_Eastern,BC,0.357041500255577,0.38891142401733686,0.36704206149480884,0.22840434483024488
Equity,Africa_Eastern,CH4,8.062301375393696,9.76359105679746,12.530844539866296,14.681123147951979
Equity,Africa_Eastern,CO,37.19478581812285,39.109592650477836,36.561428075370024,28.702542722067765
Equity,Africa_Eastern,NH3,2.653705563675846,3.2479933991445025,4.25303188352751,5.356723868113897
Equity,Africa_Eastern,NMVOC,7.673378280981648,8.805023372828996,10.706359296934965,12.11088795824667
Equity,Africa_Eastern,NOx,2.2886999314015837,2.4375163600532246,2.9685244380182114,3.245600113708215
Equity,Africa_Eastern,OC,1.4989882769789138,1.616374588471174,1.519285549674528,0.897264771575273
Equity,Africa_Eastern,PM,2.536298886360982,2.7392182279328496,2.5763246036788647,1.53433340266591
Equity,Africa_Eastern,SO2,0.4868740039172438,0.5629511081011747,0.9136650681866819,0.5061162839614639
Equity,Africa_Northern,BC,0.20138768313714997,0.195479055887398,0.16600665534315498,0.13008994122525588
Equity,Africa_Northern,CH4,9.661538201585694,10.814466975886804,14.461625721625435,12.81843441481595
Equity,Africa_Northern,CO,5.982272346371103,6.105836478799437,5.137592615895908,3.8824703525012567
Equity,Africa_Northern,NH3,0.8592341455923714,1.0423554393173906,1.3133188898646637,1.523329533284102
Equity,Africa_Northern,NMVOC,2.723577439472479,3.001262705444662,3.629798805146304,4.6865636009037255
Equity,Africa_Northern,NOx,3.2511985427476597,5.30469731437399,2.989890819028782,1.092548291301417
Equity,Africa_Northern,OC,0.30370991954399096,0.32902224309712585,0.255218771739552,0.16116650526475693
Equity,Africa_Northern,PM,0.6558316363987721,0.6855287691050278,0.5475701644650298,0.3735670378763839
Equity,Africa_Northern,SO2,1.200805873211696,1.100710783653308,0.910787650788817,0.40332472613989584
Equity,Africa_Southern,BC,0.487571204084946,0.4975179784750849,0.48767531684509186,0.3908870142282957
Equity,Africa_Southern,CH4,11.389029466808248,12.227063610810104,13.374884410746217,9.064266613649357
Equity,Africa_Southern,CO,71.12482973764632,84.98688087424415,156.65233840337606,99.23742509647542
Equity,Africa_Southern,NH3,1.6857894275154197,1.8881508164098737,2.2571556907046366,2.624868594328447
Equity,Africa_Southern,NMVOC,14.099496634528277,15.570234172552047,21.596727860382092,17.808570861271235
Equity,Africa_Southern,NOx,4.492429888280091,7.189818423907072,21.98580412245531,13.967006443915073
Equity,Africa_Southern,OC,2.783073387398389,2.798778961733765,2.71931862064721,2.326990550593632
Equity,Africa_Southern,PM,4.5161232684731365,4.549523691601879,4.425068476055112,3.757572203000019
Equity,Africa_Southern,SO2,1.985813820730041,3.009062441947053,6.582497969293137,6.369247429071865
Equity,Africa_Western,BC,0.8609423146272018,0.8964959587112369,0.8680783972408687,0.5807038345106749
Equity,Africa_Western,CH4,20.7015146966038,24.650648358873227,30.8189550932042,26.08169104340295
Equity,Africa_Western,CO,115.56423005659957,116.4207547487429,113.12957427012023,94.21143351338027
Equity,Africa_Western,NH3,3.8194102143198205,4.498581772282125,5.833717413963505,6.561271976822865
Equity,Africa_Western,NMVOC,23.311849874876803,24.96962360756751,28.318572172807418,29.37587575210118
