region,Categories,GHG,2020,2030,2050,2100
Argentina,residential commercial,NOx,0.122342627,0.077956076,0.032805525,0.006945026
Argentina,residential commercial,OC,0.023163836,0.016955091,0.012663016,0.010961257
Argentina,residential commercial,SO2,0.009442693,0.006196243,0.003266075,0.001186927
Argentina,transportation,BC,0.01316746,0.010638307,0.009051676,0.004722029
Argentina,transportation,CH4,0.03125917,0.024692675,0.018321652,0.011916464
Argentina,transportation,CO,2.058932751,1.477686114,0.948381308,0.681703532
Argentina,transportation,NH3,0.002282118,0.001710537,0.001200609,0.00102502
Argentina,transportation,NMVOC,0.35666074,0.25331936,0.159480888,0.11612804
Argentina,transportation,NOx,0.574718143,0.444041573,0.341696505,0.181554859
Argentina,transportation,OC,0.005912536,0.004610529,0.003737151,0.002048633
Argentina,transportation,SO2,0.027011848,0.019247625,0.010399283,0.005438695
Argentina,wildfire,BC,0.010512473,0.009398735,0.009328663,0.009396169
Argentina,wildfire,CH4,0.065737445,0.055011897,0.054328256,0.054718162
Argentina,wildfire,CO,1.820444145,1.621555938,1.609203933,1.62104178
Argentina,wildfire,NH3,0.017126634,0.014310519,0.014124797,0.014219157
Argentina,wildfire,NMVOC,0.326551902,0.285501486,0.282921557,0.284983625
Argentina,wildfire,NOx,0.080445208,0.074740238,0.074096221,0.074305318
Argentina,wildfire,OC,0.119469768,0.10962116,0.10969756,0.111272562
Argentina,wildfire,SO2,0.016179753,0.015324352,0.015337204,0.015521958
Australia_NZ,agriculture,BC,0.006641136,0.004724599,0.005014237,0.004153057
Australia_NZ,agriculture,CH4,3.744733439,4.274457664,4.868107497,4.72645208
Australia_NZ,agriculture,CO,0.447009868,0.378139896,0.443944419,0.446963884
Australia_NZ,agriculture,NH3,0.805287105,1.021180124,1.256863623,1.308094103
Australia_NZ,agriculture,NMVOC,0.130845635,0.119344403,0.141688047,0.143275751
Australia_NZ,agriculture,NOx,0.136301351,0.140422228,0.156431652,0.155058218
Australia_NZ,agriculture,OC,0.017541561,0.015112605,0.018039158,0.018301943
Australia_NZ,agriculture,SO2,0.017148298,0.009289824,0.005466647,0.002711414
Australia_NZ,industry,BC,0.002730636,0.003047422,0.003563704,0.001642694
Australia_NZ,industry,CH4,0.013130103,0.015982501,0.017465254,0.018063703
Australia_NZ,industry,CO,0.3720942,0.287385633,0.272904562,0.197985893
Australia_NZ,industry,NH3,0.0053396,0.006720543,0.007662013,0.00423824
Australia_NZ,industry,NMVOC,0.200252585,0.155640668,0.191868126,0.238153192
Australia_NZ,industry,NOx,0.126513375,0.136018239,0.126136828,0.042837391
Australia_NZ,industry,OC,0.005074235,0.005294611,0.006480868,0.001472258
Australia_NZ,industry,SO2,0.39971765,0.251472245,0.156376248,0.066265176
Australia_NZ,power,BC,4.25E-04,3.37E-04,8.36E-05,1.88E-05
Australia_NZ,power,CH4,1.425352712,0.807527946,0.55319803,0.166273422
Australia_NZ,power,CO,0.113788282,0.098207201,0.112874741,0.243901548
Australia_NZ,power,NH3,7.53E-04,9.05E-04,3.98E-04,1.95E-05
Australia_NZ,power,NMVOC,0.360372555,0.337413445,0.266359224,0.222402932
Australia_NZ,power,NOx,0.236677097,0.104823884,0.050530851,0.098864937
Australia_NZ,power,OC,0.001570198,0.001516479,3.40E-04,4.34E-05
Australia_NZ,power,SO2,0.305171746,0.125166885,0.036970205,0.026204199
Australia_NZ,residential commercial,BC,0.003755947,0.002789846,8.13E-04,2.18E-04
Australia_NZ,residential commercial,CH4,1.323033346,0.935573649,0.843913166,0.1617008
Australia_NZ,residential commercial,CO,0.123553124,0.093309032,0.02534284,0.005270687
Australia_NZ,residential commercial,NH3,0.019426691,0.022928604,0.023284729,0.024430864
Australia_NZ,residential commercial,NMVOC,0.050703056,0.039175626,0.019686904,0.016208958
Australia_NZ,residential commercial,NOx,0.02354522,0.017478205,0.011371527,0.003350529
Australia_NZ,residential commercial,OC,0.009356182,0.007644662,0.002372271,0.00117225
Australia_NZ,residential commercial,SO2,0.007389641,0.003507084,0.001635775,2.45E-04
Australia_NZ,transportation,BC,0.013007839,0.010545018,0.008453313,0.008053104
Australia_NZ,transportation,CH4,0.021442494,0.018012876,0.01342712,0.014528297
Australia_NZ,transportation,CO,1.836751328,1.426168964,0.980403099,1.010831983
Australia_NZ,transportation,NH3,0.008283191,0.006223451,0.004411348,0.004193299
Australia_NZ,transportation,NMVOC,0.250399144,0.193830515,0.133385689,0.137532022
Australia_NZ,transportation,NOx,0.679511855,0.534728953,0.411083731,0.430572901
Australia_NZ,transportation,OC,0.009590892,0.007962602,0.006141624,0.006604256
Australia_NZ,transportation,SO2,0.056191428,0.033553318,0.017133458,0.011651039
Australia_NZ,wildfire,BC,0.088795008,0.087593171,0.088035142,0.089103084
Australia_NZ,wildfire,CH4,0.49160256,0.480130363,0.482941902,0.489847949
Australia_NZ,wildfire,CO,15.20838002,14.99440841,15.07263609,15.25954484
Australia_NZ,wildfire,NH3,0.130048706,0.12701972,0.127695513,0.129439338
Australia_NZ,wildfire,NMVOC,2.758632583,2.714401517,2.728556837,2.763038789
Australia_NZ,wildfire,NOx,0.837439457,0.830395153,0.831055884,0.836384603
Australia_NZ,wildfire,OC,0.796062054,0.787277087,0.798611328,0.816895232
Australia_NZ,wildfire,SO2,0.12676193,0.125995563,0.127260067,0.129444137
Brazil,agriculture,BC,0.035338137,0.022935252,0.00892818,0.002802552
Brazil,agriculture,CH4,13.82378507,14.07238259,14.41626811,12.75808863
Brazil,agriculture,CO,1.799246903,1.232316402,0.679132726,0.495698028
