"","Units","scenario","region","year","value"
"278","MTC","cost_20constraint","EU-12",2060,203.466371975948
"279","MTC","cost_20constraint","EU-12",2065,200.700583015458
"280","MTC","cost_20constraint","EU-12",2070,198.601079148102
"281","MTC","cost_20constraint","EU-12",2075,197.233802644632
"282","MTC","cost_20constraint","EU-12",2080,168.893512489479
"283","MTC","cost_20constraint","EU-12",2085,159.924262457417
"284","MTC","cost_20constraint","EU-12",2090,153.876131626371
"285","MTC","cost_20constraint","EU-12",2095,149.43558879439
"286","MTC","cost_20constraint","EU-12",2100,146.06866904162
"287","MTC","cost_20constraint","EU-15",1975,432.7510657494
"288","MTC","cost_20constraint","EU-15",1990,929.859702171
"289","MTC","cost_20constraint","EU-15",2005,979.742588402
"290","MTC","cost_20constraint","EU-15",2010,890.848455476
"291","MTC","cost_20constraint","EU-15",2015,798.227475429
"292","MTC","cost_20constraint","EU-15",2020,752.042399702592
"293","MTC","cost_20constraint","EU-15",2025,712.715425875327
"294","MTC","cost_20constraint","EU-15",2030,690.348067764953
"295","MTC","cost_20constraint","EU-15",2035,678.705422753441
"296","MTC","cost_20constraint","EU-15",2040,671.846939247506
"297","MTC","cost_20constraint","EU-15",2045,678.157753466032
"298","MTC","cost_20constraint","EU-15",2050,682.046832320432
"299","MTC","cost_20constraint","EU-15",2055,689.055273277852
"300","MTC","cost_20constraint","EU-15",2060,701.288569507115
"301","MTC","cost_20constraint","EU-15",2065,705.612437189018
"302","MTC","cost_20constraint","EU-15",2070,718.366493033022
"303","MTC","cost_20constraint","EU-15",2075,735.122115929232
"304","MTC","cost_20constraint","EU-15",2080,714.117376922644
"305","MTC","cost_20constraint","EU-15",2085,720.711269419813
"306","MTC","cost_20constraint","EU-15",2090,726.853937781621
"307","MTC","cost_20constraint","EU-15",2095,736.197273817079
"308","MTC","cost_20constraint","EU-15",2100,744.350994750162
"309","MTC","cost_20constraint","Europe_Eastern",1975,117.85551692
"310","MTC","cost_20constraint","Europe_Eastern",1990,247.675883519
"311","MTC","cost_20constraint","Europe_Eastern",2005,117.885666037
"312","MTC","cost_20constraint","Europe_Eastern",2010,106.44560994581
"313","MTC","cost_20constraint","Europe_Eastern",2015,77.797447255
"314","MTC","cost_20constraint","Europe_Eastern",2020,77.4298340981
"315","MTC","cost_20constraint","Europe_Eastern",2025,78.526229407128
"316","MTC","cost_20constraint","Europe_Eastern",2030,82.55646389694
"317","MTC","cost_20constraint","Europe_Eastern",2035,85.430378933938
"318","MTC","cost_20constraint","Europe_Eastern",2040,88.638593459561
"319","MTC","cost_20constraint","Europe_Eastern",2045,90.583346086194
"320","MTC","cost_20constraint","Europe_Eastern",2050,92.217739659589
"321","MTC","cost_20constraint","Europe_Eastern",2055,93.7506792707222
"322","MTC","cost_20constraint","Europe_Eastern",2060,94.7468075667084
"323","MTC","cost_20constraint","Europe_Eastern",2065,93.0514774849582
"324","MTC","cost_20constraint","Europe_Eastern",2070,91.7050167416088
"325","MTC","cost_20constraint","Europe_Eastern",2075,88.4581147060058
"326","MTC","cost_20constraint","Europe_Eastern",2080,83.4283861979506
"327","MTC","cost_20constraint","Europe_Eastern",2085,81.0056256920705
"328","MTC","cost_20constraint","Europe_Eastern",2090,78.7324081667136
"329","MTC","cost_20constraint","Europe_Eastern",2095,76.752546712007
"330","MTC","cost_20constraint","Europe_Eastern",2100,74.8233345106756
"331","MTC","cost_20constraint","Europe_Non_EU",1975,18.73753524
"332","MTC","cost_20constraint","Europe_Non_EU",1990,76.309074155
"333","MTC","cost_20constraint","Europe_Non_EU",2005,99.3109799888
"334","MTC","cost_20constraint","Europe_Non_EU",2010,114.941747092
"335","MTC","cost_20constraint","Europe_Non_EU",2015,130.42218688
"336","MTC","cost_20constraint","Europe_Non_EU",2020,124.8546431763
"337","MTC","cost_20constraint","Europe_Non_EU",2025,131.591603480348
"338","MTC","cost_20constraint","Europe_Non_EU",2030,139.946872654052
"339","MTC","cost_20constraint","Europe_Non_EU",2035,146.065716818293
"340","MTC","cost_20constraint","Europe_Non_EU",2040,151.615292376075
"341","MTC","cost_20constraint","Europe_Non_EU",2045,157.195238122225
"342","MTC","cost_20constraint","Europe_Non_EU",2050,162.320698696421
"343","MTC","cost_20constraint","Europe_Non_EU",2055,167.443712097592
"344","MTC","cost_20constraint","Europe_Non_EU",2060,172.155485176644
"345","MTC","cost_20constraint","Europe_Non_EU",2065,174.251271198998
"346","MTC","cost_20constraint","Europe_Non_EU",2070,176.575861940968
"347","MTC","cost_20constraint","Europe_Non_EU",2075,178.836513040596
"348","MTC","cost_20constraint","Europe_Non_EU",2080,172.428861985421
"349","MTC","cost_20constraint","Europe_Non_EU",2085,170.972565684454
"350","MTC","cost_20constraint","Europe_Non_EU",2090,169.651480142572
"351","MTC","cost_20constraint","Europe_Non_EU",2095,168.886136953134
"352","MTC","cost_20constraint","Europe_Non_EU",2100,168.38348088788
"353","MTC","cost_20constraint","European Free Trade Association",1975,12.14379534
"354","MTC","cost_20constraint","European Free Trade Association",1990,21.75811492837
"355","MTC","cost_20constraint","European Free Trade Association",2005,24.6155187721
"356","MTC","cost_20constraint","European Free Trade Association",2010,24.8815505503
"357","MTC","cost_20constraint","European Free Trade Association",2015,23.0077097018
"358","MTC","cost_20constraint","European Free Trade Association",2020,23.703436386
"359","MTC","cost_20constraint","European Free Trade Association",2025,22.703943371122
"360","MTC","cost_20constraint","European Free Trade Association",2030,21.672532983514
